,Movie,Link,year
136,Love N' Dancing,/wiki/Love_N%27_Dancing,2009
137,Next Day Air,/wiki/Next_Day_Air,2009
138,Outrage,/wiki/Outrage_(2009_film),2009
139,Powder Blue,/wiki/Powder_Blue_(film),2009
140,Rudo y Cursi,/wiki/Rudo_y_Cursi,2009
141,Star Trek,/wiki/Star_Trek_(film),2009
142,Angels & Demons,/wiki/Angels_%26_Demons_(film),2009
143,The Brothers Bloom,/wiki/The_Brothers_Bloom,2009
144,Jerichow,/wiki/Jerichow_(film),2009
145,Management,/wiki/Management_(film),2009
146,Not Forgotten,/wiki/Not_Forgotten_(film),2009
147,Summer Hours,/wiki/Summer_Hours,2009
148,Make the Yuletide Gay,/wiki/Make_the_Yuletide_Gay,2009
149,Dogtooth,/wiki/Dogtooth_(film),2009
150,Terminator Salvation,/wiki/Terminator_Salvation,2009
151,Dance Flick,/wiki/Dance_Flick,2009
152,Easy Virtue,/wiki/Easy_Virtue_(2008_film),2009
153,The Girlfriend Experience,/wiki/The_Girlfriend_Experience,2009
154,The Imaginarium of Doctor Parnassus,/wiki/The_Imaginarium_of_Doctor_Parnassus,2009
155,Night at the Museum: Battle of the Smithsonian,/wiki/Night_at_the_Museum:_Battle_of_the_Smithsonian,2009
156,O' Horten,/wiki/O%27_Horten,2009
157,Tormented,/wiki/Tormented_(2009_British_film),2009
158,Pressure Cooker,/wiki/Pressure_Cooker_(2008_film),2009
159,Departures,/wiki/Departures_(2008_film),2009
160,Drag Me to Hell,/wiki/Drag_Me_to_Hell,2009
161,The Maiden Heist,/wiki/The_Maiden_Heist,2009
162,Up,/wiki/Up_(2009_film),2009
163,What Goes Up,/wiki/What_Goes_Up,2009
164,Into the Storm,/wiki/Into_the_Storm_(2009_film),2009
165,Unmistaken Child,/wiki/Unmistaken_Child,2009
166,After Last Season,/wiki/After_Last_Season,2009
167,Away We Go,/wiki/Away_We_Go,2009
168,The Hangover,/wiki/The_Hangover,2009
169,Land of the Lost,/wiki/Land_of_the_Lost_(film),2009
170,My Life in Ruins,/wiki/My_Life_in_Ruins,2009
171,Tennessee,/wiki/Tennessee_(film),2009
172,Care Bears: Oopsy Does It!,/wiki/Care_Bears:_Oopsy_Does_It!,2009
173,Doghouse,/wiki/Doghouse_(film),2009
174,"Food, Inc.","/wiki/Food,_Inc.",2009
175,Imagine That,/wiki/Imagine_That_(film),2009
176,Moon,/wiki/Moon_(2009_film),2009
177,Sex Positive,/wiki/Sex_Positive,2009
178,The Taking of Pelham 123,/wiki/The_Taking_of_Pelham_123_(2009_film),2009
179,$9.99,/wiki/$9.99,2009
180,Dead Snow,/wiki/Dead_Snow,2009
181,The Proposal,/wiki/The_Proposal_(2009_film),2009
182,Whatever Works,/wiki/Whatever_Works,2009
183,Year One,/wiki/Year_One_(film),2009
184,Transformers: Revenge of the Fallen,/wiki/Transformers:_Revenge_of_the_Fallen,2009
185,Chéri,/wiki/Ch%C3%A9ri_(film),2009
186,The Hurt Locker,/wiki/The_Hurt_Locker,2009
187,My Sister's Keeper,/wiki/My_Sister%27s_Keeper_(film),2009
188,The Stoning of Soraya M.,/wiki/The_Stoning_of_Soraya_M.,2009
189,Surveillance,/wiki/Surveillance_(2008_film),2009
190,New York,/wiki/New_York_(2009_film),2009
191,Ice Age: Dawn of the Dinosaurs,/wiki/Ice_Age:_Dawn_of_the_Dinosaurs,2009
192,Public Enemies,/wiki/Public_Enemies_(2009_film),2009
193,The Girl from Monaco,/wiki/The_Girl_from_Monaco,2009
194,I Hate Valentine's Day,/wiki/I_Hate_Valentine%27s_Day,2009
195,Blood: The Last Vampire,/wiki/Blood:_The_Last_Vampire_(2009_film),2009
196,Brüno,/wiki/Br%C3%BCno,2009
197,Humpday,/wiki/Humpday,2009
198,"I Love You, Beth Cooper","/wiki/I_Love_You,_Beth_Cooper_(film)",2009
199,Soul Power,/wiki/Soul_Power_(film),2009
200,Sesame Street: Dinosaurs!,/wiki/Sesame_Street,2009
201,Harry Potter and the Half-Blood Prince,/wiki/Harry_Potter_and_the_Half-Blood_Prince_(film),2009
202,(500) Days of Summer,/wiki/(500)_Days_of_Summer,2009
203,The Age of Stupid,/wiki/The_Age_of_Stupid,2009
204,Death in Love,/wiki/Death_in_Love,2009
205,Homecoming,/wiki/Homecoming_(2009_film),2009
206,The Answer Man,/wiki/The_Answer_Man_(film),2009
207,G-Force,/wiki/G-Force_(film),2009
208,In the Loop,/wiki/In_the_Loop,2009
209,Orphan,/wiki/Orphan_(2009_film),2009
210,Shrink,/wiki/Shrink_(film),2009
211,The Ugly Truth,/wiki/The_Ugly_Truth,2009
212,Adam,/wiki/Adam_(2009_film),2009
213,Aliens in the Attic,/wiki/Aliens_in_the_Attic,2009
214,The Collector,/wiki/The_Collector_(2009_film),2009
215,The Cove,/wiki/The_Cove_(film),2009
216,Funny People,/wiki/Funny_People,2009
217,Thirst,/wiki/Thirst_(2009_film),2009
218,My Little Pony: A Very Pony Place,/wiki/My_Little_Pony:_A_Very_Pony_Place,2009
219,Cold Souls,/wiki/Cold_Souls,2009
220,G.I. Joe: The Rise of Cobra,/wiki/G.I._Joe:_The_Rise_of_Cobra,2009
221,I Sell the Dead,/wiki/I_Sell_the_Dead,2009
222,Julie & Julia,/wiki/Julie_%26_Julia,2009
223,Paper Heart,/wiki/Paper_Heart_(film),2009
224,A Perfect Getaway,/wiki/A_Perfect_Getaway,2009
225,Bandslam,/wiki/Bandslam,2009
226,District 9,/wiki/District_9,2009
227,Earth Days,/wiki/Earth_Days,2009
228,"The Goods: Live Hard, Sell Hard","/wiki/The_Goods:_Live_Hard,_Sell_Hard",2009
229,Grace,/wiki/Grace_(2009_film),2009
230,It Might Get Loud,/wiki/It_Might_Get_Loud,2009
231,Ponyo,/wiki/Ponyo,2009
232,Spread,/wiki/Spread_(film),2009
233,The Time Traveler's Wife,/wiki/The_Time_Traveler%27s_Wife_(film),2009
234,The Headless Woman,/wiki/The_Headless_Woman_(2008_film),2009
235,Art & Copy,/wiki/Art_%26_Copy,2009
236,Casi Divas,,2009
237,Five Minutes of Heaven,/wiki/Five_Minutes_of_Heaven,2009
238,Inglourious Basterds,/wiki/Inglourious_Basterds,2009
239,The Marc Pease Experience,/wiki/The_Marc_Pease_Experience,2009
240,Misconceptions,,2009
241,My One and Only,/wiki/My_One_and_Only_(film),2009
242,Post Grad,/wiki/Post_Grad,2009
243,Shorts: The Adventures of the Wishing Rock,/wiki/Shorts_(2009_film),2009
244,World's Greatest Dad,/wiki/World%27s_Greatest_Dad,2009
245,X Games: The Movie,/wiki/X_Games_3D:_The_Movie,2009
246,Big Fan,/wiki/Big_Fan,2009
247,The Final Destination,/wiki/The_Final_Destination,2009
248,Halloween II,/wiki/Halloween_II_(2009_film),2009
249,Mystery Team,/wiki/Mystery_Team,2009
250,The Open Road,/wiki/The_Open_Road,2009
251,The September Issue,/wiki/The_September_Issue,2009
252,Taking Woodstock,/wiki/Taking_Woodstock,2009
253,We Live in Public,/wiki/We_Live_in_Public,2009
254,All About Steve,/wiki/All_About_Steve,2009
255,American Casino,/wiki/American_Casino_(film),2009
256,Amreeka,/wiki/Amreeka,2009
257,Carriers,/wiki/Carriers_(film),2009
258,Extract,/wiki/Extract_(film),2009
259,Gamer,/wiki/Gamer_(2009_film),2009
260,Thomas & Friends: Hero of the Rails,/wiki/Hero_of_the_Rails,2009
261,9,/wiki/9_(2009_animated_film),2009
262,Walt & El Grupo,/wiki/Walt_%26_El_Grupo,2009
263,Beyond A Reasonable Doubt,/wiki/Beyond_a_Reasonable_Doubt_(2009_film),2009
264,Crude,/wiki/Crude_(2009_film),2009
265,Disgrace,/wiki/Disgrace_(2008_film),2009
266,I Can Do Bad All By Myself,/wiki/I_Can_Do_Bad_All_by_Myself_(film),2009
267,No Impact Man,/wiki/No_Impact_Man,2009
268,Sorority Row,/wiki/Sorority_Row,2009
269,White on Rice,/wiki/White_on_Rice,2009
270,Whiteout,/wiki/Whiteout_(2009_film),2009
271,Mr. Nobody,/wiki/Mr._Nobody_(film),2009
272,35 Shots of Rum,/wiki/35_Shots_of_Rum,2009
273,Another Cinderella Story,/wiki/Another_Cinderella_Story,2009
274,The Other Woman,/wiki/The_Other_Woman_(2009_film),2009
275,Bright Star,/wiki/Bright_Star_(film),2009
276,The Burning Plain,/wiki/The_Burning_Plain,2009
277,Cloudy with a Chance of Meatballs,/wiki/Cloudy_with_a_Chance_of_Meatballs_(film),2009
278,Fuel,/wiki/Fuel_(film),2009
279,The Informant!,/wiki/The_Informant!,2009
280,Jennifer's Body,/wiki/Jennifer%27s_Body,2009
281,Love Happens,/wiki/Love_Happens_(2009_film),2009
282,Paris,/wiki/Paris_(2008_film),2009
283,The Secrets of Jonathan Sperry,/wiki/The_Secrets_of_Jonathan_Sperry,2009
284,Splice,/wiki/Splice_(film),2009
285,Blind Date,/wiki/Blind_Date_(2007_film),2009
286,Pretty Ugly People,/wiki/Pretty_Ugly_People,2009
287,Scooby-Doo! The Mystery Begins,/wiki/Scooby-Doo!_The_Mystery_Begins,2009
288,The Boys Are Back,/wiki/The_Boys_Are_Back_(film),2009
289,Brief Interviews with Hideous Men,/wiki/Brief_Interviews_with_Hideous_Men_(film),2009
290,Coco Before Chanel,/wiki/Coco_Before_Chanel,2009
291,Fame,/wiki/Fame_(2009_film),2009
292,I Hope They Serve Beer in Hell,/wiki/I_Hope_They_Serve_Beer_in_Hell_(film),2009
293,The Other Man,/wiki/The_Other_Man_(2008_film),2009
294,Pandorum,/wiki/Pandorum,2009
295,Paranormal Activity,/wiki/Paranormal_Activity,2009
296,Surrogates,/wiki/Surrogates,2009
297,Trailer Park Boys: Countdown to Liquor Day,/wiki/Trailer_Park_Boys:_Countdown_to_Liquor_Day,2009
298,Capitalism: A Love Story,/wiki/Capitalism:_A_Love_Story,2009
299,The Invention of Lying,/wiki/The_Invention_of_Lying,2009
300,Jackboots on Whitehall,/wiki/Jackboots_on_Whitehall,2009
301,More than a Game,/wiki/More_than_a_Game,2009
302,A Serious Man,/wiki/A_Serious_Man,2009
303,Whip It,/wiki/Whip_It_(film),2009
304,Zombieland,/wiki/Zombieland,2009
305,Barney's Jungle Friends,/wiki/Barney_%26_Friends,2009
306,Assassination of a High School President,/wiki/Assassination_of_a_High_School_President,2009
307,Bronson,/wiki/Bronson_(film),2009
308,Couples Retreat,/wiki/Couples_Retreat,2009
309,The Damned United,/wiki/The_Damned_United,2009
310,An Education,/wiki/An_Education,2009
311,Free Style,/wiki/Free_Style_(film),2009
312,From Mexico with Love,/wiki/From_Mexico_with_Love,2009
313,Good Hair,/wiki/Good_Hair,2009
314,Peter and Vandy,/wiki/Peter_and_Vandy,2009
315,St Trinian's,/wiki/St_Trinian%27s_(film),2009
316,Trucker,/wiki/Trucker_(film),2009
317,Visual Acoustics: The Modernism of Julius Shulman,,2009
318,Virginia Creepers,/wiki/Virginia_Creepers,2009
319,Assassin's Creed: Lineage,/wiki/Assassin%27s_Creed:_Lineage,2009
320,Black Dynamite,/wiki/Black_Dynamite,2009
321,Janky Promoters,/wiki/Janky_Promoters,2009
322,Law Abiding Citizen,/wiki/Law_Abiding_Citizen,2009
323,Love the Beast,/wiki/Love_the_Beast,2009
324,The Maid,/wiki/The_Maid_(2009_film),2009
325,The Ministers,/wiki/The_Ministers,2009
326,"New York, I Love You","/wiki/New_York,_I_Love_You",2009
327,The Stepfather,/wiki/The_Stepfather_(2009_film),2009
328,Triangle,/wiki/Triangle_(2009_British_film),2009
329,Where the Wild Things Are,/wiki/Where_the_Wild_Things_Are_(film),2009
330,Adventures of Power,/wiki/Adventures_of_Power,2009
331,Amelia,/wiki/Amelia_(film),2009
332,Antichrist,/wiki/Antichrist_(film),2009
333,Astro Boy,/wiki/Astro_Boy_(film),2009
334,Cirque du Freak: The Vampire's Assistant,/wiki/Cirque_du_Freak:_The_Vampire%27s_Assistant,2009
335,The Marine 2,/wiki/The_Marine_2,2009
336,Motherhood,/wiki/Motherhood_(2009_film),2009
337,Ong Bak 2: The Beginning,/wiki/Ong_Bak_2,2009
338,Saw VI,/wiki/Saw_VI,2009
339,(Untitled),/wiki/(Untitled)_(2009_film),2009
340,The Yes Men Fix the World,/wiki/The_Yes_Men_Fix_the_World,2009
341,Halloweenight,/wiki/Halloweenight,2009
342,Night of the Demons,/wiki/Night_of_the_Demons_(2009_film),2009
343,Michael Jackson's This Is It,/wiki/Michael_Jackson%27s_This_Is_It,2009
344,The Boondock Saints II: All Saints Day,/wiki/The_Boondock_Saints_II:_All_Saints_Day,2009
345,Gentlemen Broncos,/wiki/Gentlemen_Broncos,2009
346,The House of the Devil,/wiki/The_House_of_the_Devil,2009
347,Looking for Palladin,,2009
348,Skin,/wiki/Skin_(2008_film),2009
349,The Box,/wiki/The_Box_(2009_film),2009
350,A Christmas Carol,/wiki/A_Christmas_Carol_(2009_film),2009
351,The Flying Scissors,/wiki/The_Flying_Scissors,2009
352,The Fourth Kind,/wiki/The_Fourth_Kind,2009
353,The Men Who Stare at Goats,/wiki/The_Men_Who_Stare_at_Goats_(film),2009
354,Precious,/wiki/Precious_(film),2009
355,That Evening Sun,/wiki/That_Evening_Sun_(film),2009
356,My Little Pony: Twinkle Wish Adventure,/wiki/My_Little_Pony:_Twinkle_Wish_Adventure,2009
357,2012 ,/wiki/2012_(film),2009
358,The Boat That Rocked,/wiki/The_Boat_That_Rocked,2009
359,Pirate Radio,/wiki/The_Boat_That_Rocked,2009
360,Dare,/wiki/Dare_(film),2009
361,Lesbian Vampire Killers,/wiki/Lesbian_Vampire_Killers,2009
362,The Messenger,/wiki/The_Messenger_(2009_film),2009
363,Uncertainty,/wiki/Uncertainty_(film),2009
364,Women in Trouble,/wiki/Women_in_Trouble,2009
365,The Young Victoria,/wiki/The_Young_Victoria,2009
366,Bad Lieutenant: Port of Call New Orleans,/wiki/Bad_Lieutenant:_Port_of_Call_New_Orleans,2009
367,The Blind Side,/wiki/The_Blind_Side_(film),2009
368,Broken Embraces,/wiki/Broken_Embraces,2009
369,Defamation,/wiki/Defamation_(film),2009
370,Nativity!,/wiki/Nativity!_(film),2009
371,Planet 51,/wiki/Planet_51,2009
372,The Twilight Saga: New Moon,/wiki/The_Twilight_Saga:_New_Moon,2009
373,Me and Orson Welles,/wiki/Me_and_Orson_Welles,2009
374,Ben 10: Alien Swarm,/wiki/Ben_10:_Alien_Swarm,2009
375,Fantastic Mr. Fox,/wiki/Fantastic_Mr._Fox_(film),2009
376,Ninja Assassin,/wiki/Ninja_Assassin,2009
377,Old Dogs,/wiki/Old_Dogs_(film),2009
378,The Road,/wiki/The_Road_(2009_film),2009
379,The Private Lives of Pippa Lee,/wiki/The_Private_Lives_of_Pippa_Lee,2009
380,St Trinian's 2: The Legend of Fritton's Gold,/wiki/St_Trinian%27s_2:_The_Legend_of_Fritton%27s_Gold,2009
381,Made for Each Other,/wiki/Made_for_Each_Other_(2009_film),2009
382,Armored,/wiki/Armored_(film),2009
383,Brothers,/wiki/Brothers_(2009_film),2009
384,Everybody's Fine,/wiki/Everybody%27s_Fine_(2009_film),2009
385,Transylmania,/wiki/Transylmania,2009
386,Until the Light Takes Us,/wiki/Until_the_Light_Takes_Us,2009
387,Up in the Air,/wiki/Up_in_the_Air_(2009_film),2009
388,Curious George: A Very Monkey Christmas/Olivia's Winter Wonderland,/wiki/Curious_George:_A_Very_Monkey_Christmas,2009
389,Curious George: A Very Monkey Christmas,,2009
390,Trick 'r Treat,/wiki/Trick_%27r_Treat,2009
391,Invictus,/wiki/Invictus_(film),2009
392,The Lovely Bones,/wiki/The_Lovely_Bones_(film),2009
393,"My Son, My Son, What Have Ye Done?","/wiki/My_Son,_My_Son,_What_Have_Ye_Done%3F",2009
394,The Princess and the Frog,/wiki/The_Princess_and_the_Frog,2009
395,A Single Man,/wiki/A_Single_Man,2009
396,The Slammin' Salmon,/wiki/The_Slammin%27_Salmon,2009
397,Tenderness,/wiki/Tenderness_(2009_film),2009
398,Crazy Heart,/wiki/Crazy_Heart,2009
399,A Town Called Panic,/wiki/A_Town_Called_Panic_(film),2009
400,Avatar,/wiki/Avatar_(2009_film),2009
401,Did You Hear About the Morgans?,/wiki/Did_You_Hear_About_the_Morgans%3F,2009
402,Fall Down Dead,/wiki/Fall_Down_Dead,2009
403,The New Daughter,/wiki/The_New_Daughter,2009
404,Nine,/wiki/Nine_(2009_live-action_film),2009
405,The Young Victoria,/wiki/The_Young_Victoria,2009
406,American Pie Presents: The Book of Love,/wiki/American_Pie_Presents:_The_Book_of_Love,2009
407,Alvin and the Chipmunks: The Squeakquel,/wiki/Alvin_and_the_Chipmunks:_The_Squeakquel,2009
408,The Last Station,/wiki/The_Last_Station,2009
409,The Imaginarium of Doctor Parnassus,/wiki/The_Imaginarium_of_Doctor_Parnassus,2009
410,It's Complicated,/wiki/It%27s_Complicated_(film),2009
411,Sherlock Holmes,/wiki/Sherlock_Holmes_(2009_film),2009
412,The Loss of a Teardrop Diamond,/wiki/The_Loss_of_a_Teardrop_Diamond,2009
413,The White Ribbon,/wiki/The_White_Ribbon,2009
414,The One-Handed Trick,/wiki/The_One-Handed_Trick,2009
415,El truco del manco,,2009
416,The Hanged Man,/wiki/The_Hanged_Man_(2009_film),2009
417,El juego del ahorcado,,2009
418,Mediterranean Food,/wiki/Mediterranean_Food,2009
419,Dieta mediterránea,,2009
420,The Milk of Sorrow,/wiki/The_Milk_of_Sorrow,2009
421,La teta asustada,,2009
422,Che,/wiki/Che_(2008_film),2009
423,Che. Guerrilla,,2009
424,Broken Embraces,/wiki/Broken_Embraces,2009
425,Los abrazos rotos,,2009
426,"Sex, Party and Lies","/wiki/Sex,_Party_and_Lies",2009
427,Mentiras y gordas,,2009
428,Al final del camino [es],/w/index.php?title=Al_final_del_camino&action=edit&redlink=1,2009
429,Brain Drain,/wiki/Brain_Drain_(film),2009
430,Fuga de cerebros,,2009
431,Esperpentos,,2009
432,A Good Man [ca],/w/index.php?title=A_Good_Man_(2009_film)&action=edit&redlink=1,2009
433,Un buen hombre,,2009
434,The Shame,/wiki/The_Shame_(film),2009
435,La vergüenza,,2009
436,The Haunting,/wiki/The_Haunting_(2009_film),2009
437,NO-DO,,2009
438,Tetro,/wiki/Tetro,2009
439,Three Days With the Family [ca],/w/index.php?title=Three_Days_With_the_Family&action=edit&redlink=1,2009
440,Tres dies amb la família,,2009
441,Friend Zone,/wiki/Friend_Zone_(film),2009
442,Pagafantas,,2009
443,V.O.S,/wiki/V.O.S_(film),2009
444,Map of the Sounds of Tokyo,/wiki/Map_of_the_Sounds_of_Tokyo,2009
445,Mapa de los sonidos de Tokio,,2009
446,Guts,/wiki/Guts_(2009_film),2009
447,Agallas,,2009
448,Fat People,/wiki/Fat_People_(film),2009
449,Gordos,,2009
450,The Secret in Their Eyes,/wiki/The_Secret_in_Their_Eyes,2009
451,El secreto de sus ojos,,2009
452,[REC] 2,/wiki/REC_2,2009
453,Agora,/wiki/Agora_(film),2009
454,Ágora,,2009
455,Me Too,"/wiki/Yo,_tambi%C3%A9n",2009
456,"Yo, también",,2009
457,After,/wiki/After_(2009_film),2009
458,Bullying [ca],/w/index.php?title=Bullying_(2009_film)&action=edit&redlink=1,2009
459,Paper Castles,/wiki/Paper_Castles_(film),2009
460,Castillos de cartón,,2009
461,Cell 211,/wiki/Cell_211,2009
462,Celda 211,,2009
463,Planet 51,/wiki/Planet_51,2009
464,The Dancer and the Thief,/wiki/The_Dancer_and_the_Thief,2009
465,El baile de la victoria,,2009
466,Spanish Movie,/wiki/Spanish_Movie,2009
467,13ème Mois,/w/index.php?title=13%C3%A8me_Mois&action=edit&redlink=1,2009
468,citation needed,/wiki/Wikipedia:Citation_needed,2009
469,1943 Le temps d'un répit,,2009
470,36 vues du Pic Saint-Loup,/wiki/36_Views_from_the_Pic_Saint-Loup,2009
471,À l'origine,/wiki/In_the_Beginning_(2009_film),2009
